Model,Direction,Recall@1,Recall@5,Recall@10,MRR,nDCG
Base E5,Sanskrit → English,0.323943661971831,0.5774647887323944,0.7464788732394366,0.4476294058084417,0.566177751513024
Fine-tuned E5,Sanskrit → English,0.8873239436619719,0.9859154929577465,0.9859154929577465,0.9295774647887324,0.9468258271378387
Base E5,English → Sanskrit,0.7887323943661971,0.9295774647887324,0.9436619718309859,0.847650295713676,0.8828310314408201
Fine-tuned E5,English → Sanskrit,0.8873239436619719,0.9859154929577465,1.0,0.9330985915492958,0.9498807396202635
